,population,income,house_value,rent,tract,unemployment,poverty
0,2424,29089,204900,1647,08005007500,0.03,0.17
1,4833,41125,381500,1565,08005005619,0.03,0.06
2,3022,38596,248500,1514,08005005620,0.07,0.07
3,2906,53250,560700,1363,08005005621,0.04,0.04
4,4733,49964,431700,1388,08005005627,0.03,0.05
5,5820,44311,366800,1660,08005005628,0.02,0.03
6,4627,26670,271500,846,08005005951,0.08,0.23
7,3379,34502,323300,1285,08005006200,0.04,0.13
8,5167,49706,353300,1814,08005006707,0.03,0.05
9,2538,51964,663900,3375,08005005629,0.05,0.04
10,3173,41614,302400,1405,08005005634,0.05,0.07
11,4566,83000,1536500,-666666666,08005006704,0.01,0.02
12,5129,36413,249000,1209,08123002205,0.04,0.08
13,3546,39565,278900,1025,08123002206,0.05,0.03
14,3234,44647,322700,1426,08123002207,0.05,0.07
15,5762,44701,350400,1410,08123002208,0.03,0.03
16,2028,46552,471200,2382,08123002209,0.01,0.03
17,884,52500,455200,-666666666,08123002210,0.0,0.03
18,4356,30294,151200,705,08125963100,0.04,0.14
19,5713,26952,201500,840,08125963200,0.02,0.15
20,5393,51599,372900,2083,08005085900,0.06,0.03
21,8350,43077,330000,1868,08005086000,0.0,0.02
22,4798,46436,298300,1837,08005086100,0.02,0.04
23,6740,48888,329800,2043,08005086200,0.03,0.03
24,4680,45944,352600,1619,08005086300,0.03,0.08
25,2090,63359,781900,3501,08005086400,0.01,0.02
26,5247,44338,428900,1410,08005086500,0.02,0.04
27,5812,41291,452700,1494,08005086600,0.01,0.05
28,5034,74228,518900,-666666666,08005086700,0.03,0.03
29,7362,34244,241500,1198,08005086800,0.03,0.13
30,5331,30281,221500,1313,08005087000,0.05,0.18
31,3190,44459,366800,1775,08005005614,0.03,0.02
32,2572,57500,923100,1467,08005005622,0.04,0.02
33,3355,50789,416000,2156,08005005632,0.06,0.05
34,3888,31516,237700,1337,08005005700,0.05,0.18
35,4539,30794,361100,935,08005006604,0.01,0.1
36,4723,37500,513900,1469,08005006815,0.07,0.12
37,1380,65000,434600,-666666666,08123002011,0.04,0.01
38,1291,52500,356300,-666666666,08123002012,0.02,0.02
39,3143,50601,307800,1763,08123002013,0.03,0.01
40,1876,36295,215800,1444,08123002014,0.06,0.03
41,1248,49325,299600,2172,08123002015,0.03,0.01
42,3242,32293,245700,1280,08123002016,0.04,0.04
43,626,61250,570000,-666666666,08123002017,0.04,0.03
44,1794,46050,376300,1625,08123002018,0.05,0.01
45,5495,46512,320100,1291,08123002019,0.05,0.04
46,5683,47898,351600,1853,08123002020,0.04,0.04
47,690,41471,488600,-666666666,08123002021,0.01,0.1
48,9066,36698,244100,1203,08123002101,0.03,0.06
49,12764,36448,298500,1687,08123002102,0.05,0.03
50,10165,47626,386700,1269,08123002103,0.04,0.05
